Species,#
Indian muntjac,7
Common fruit fly,8
Pill millipede (*Arthrosphaera fumosa*),30
Earthworm (*Octodrilus complanatus*),36
Tibetan fox,36
Domestic cat,38
Domestic pig,38
Laboratory mouse,40
Laboratory rat,42
Rabbit (*Oryctolagus cuniculus*),44
Syrian hamster,44
Guppy (*Poecilia reticulata*),46
Human,46
Hares,48
"Gorillas, chimpanzees",48
Domestic sheep,54
Garden snail,54
Silkworm,56
Elephants,56
Cow,60
Donkey,62
Guinea pig,64
Horse,64
Dog,78
Hedgehog,90
Goldfish,100–104
Kingfisher,132
